,Authors’ disciplines,Topics
290,interdisciplinary,application
291,social sciences,data quality
292,social sciences,data enrichment
293,geo-information,data quality
294,geo-information,data enrichment
295,computer science,application
296,engineering,application
297,social sciences,data quality
298,geo-information,contributors
299,engineering,contributors
300,geo-information,analyzing contributions
301,geo-information,contributors
302,engineering,analyzing contributions
303,engineering,contributors
304,social sciences,application
305,social sciences,application
306,exact sciences,application
307,social sciences,data quality
308,computer science,data quality
309,computer science,review
310,social sciences,data quality
311,social sciences,review
312,social sciences,application
313,geo-information,application
314,geo-information,application
315,engineering,application
316,exact sciences,application
317,engineering,application
318,geo-information,data quality
319,informatics,data quality
320,exact sciences,data quality
321,computer science,application
322,computer science,data enrichment
323,geo-information,application
324,geo-information,data enrichment
325,engineering,analyzing contributions
326,engineering,shaping contributions
327,informatics,development
328,engineering,application
329,engineering,data enrichment
330,geo-information,application
331,geo-information,data enrichment
332,geo-information,application
333,exact sciences,application
334,engineering,data enrichment
335,geo-information,contributors
336,geo-information,analyzing contributions
337,geo-information,OSM effects
338,geo-information,data enrichment
339,computer science,application
340,geo-information,data quality
341,informatics,application
342,engineering,application
343,engineering,shaping contributions
344,engineering,contributors
345,computer science,shaping contributions
346,computer science,data quality
347,engineering,shaping contributions
348,engineering,data quality
349,engineering,application
350,informatics,application
351,interdisciplinary,application
352,engineering,data quality
353,geo-information,application
354,geo-information,application
355,geo-information,application
356,geo-information,review
357,geo-information,data quality
358,geo-information,development
359,engineering,data quality
360,engineering,development
361,engineering,data enrichment
362,engineering,data quality
363,computer science,application
364,exact sciences,application
365,interdisciplinary,application
366,informatics,application
367,social sciences,application
368,social sciences,contributors
369,social sciences,contribution behaviors
370,geo-information,contributors
371,geo-information,contribution behaviors
372,computer science,data quality
373,engineering,data quality
374,engineering,application
375,engineering,application
376,geo-information,application
377,geo-information,application
378,engineering,application
379,engineering,application
380,engineering,contribution behaviors
381,interdisciplinary,application
382,interdisciplinary,contribution behaviors
