,Authors’ disciplines,Journal’s discipline
266,computer science,geo-information
267,geo-information,geo-information
268,informatics,engineering
269,engineering,engineering
270,engineering,informatics
271,computer science,geo-information
272,engineering,geo-information
273,engineering,geo-information
274,informatics,geo-information
275,interdisciplinary,geo-information
276,engineering,geo-information
277,geo-information,geo-information
278,geo-information,geo-information
279,geo-information,geo-information
280,geo-information,geo-information
281,geo-information,geo-information
282,engineering,geo-information
283,engineering,informatics
284,computer science,geo-information
285,exact sciences,geo-information
286,interdisciplinary,geo-information
287,informatics,geo-information
288,social sciences,geo-information
289,social sciences,geo-information
290,geo-information,geo-information
291,computer science,geo-information
292,engineering,geo-information
293,engineering,engineering
294,engineering,interdisciplinary
295,geo-information,geo-information
296,geo-information,geo-information
297,engineering,engineering
298,engineering,geo-information
299,interdisciplinary,geo-information
